ICD-10-CM Codes,Description,Tags
D57438,Sickle-cell thalassemia beta zero with crisis with other specified complication,
D57439,"Sickle-cell thalassemia beta zero with crisis, unspecified",
D5744,Sickle-cell thalassemia beta plus without crisis,
D57451,Sickle-cell thalassemia beta plus with acute chest syndrome,
D57452,Sickle-cell thalassemia beta plus with splenic sequestration,
D57453,Sickle-cell thalassemia beta plus with cerebral vascular involvement,
D57454,Sickle-cell thalassemia beta plus with dactylitis,
D57458,Sickle-cell thalassemia beta plus with crisis with other specified complication,
D57459,"Sickle-cell thalassemia beta plus with crisis, unspecified",
D5780,Other sickle-cell disorders without crisis,
D57811,Other sickle-cell disorders with acute chest syndrome,
D57812,Other sickle-cell disorders with splenic sequestration,
D57813,Other sickle-cell disorders with cerebral vascular involvement,
D57814,Other sickle-cell disorders with dactylitis,
D57818,Other sickle-cell disorders with crisis with other specified complication,
D57819,"Other sickle-cell disorders with crisis, unspecified",
D5910,"Autoimmune hemolytic anemia, unspecified",
D5911,Warm autoimmune hemolytic anemia,
D5912,Cold autoimmune hemolytic anemia,
D5913,Mixed type autoimmune hemolytic anemia,
D5919,Other autoimmune hemolytic anemia,
D5930,"Hemolytic-uremic syndrome, unspecified",
D5931,Infection-associated hemolytic-uremic syndrome,
D5932,Hereditary hemolytic-uremic syndrome,
D5939,Other hemolytic-uremic syndrome,
D594,Other nonautoimmune hemolytic anemias,
D595,Paroxysmal nocturnal hemoglobinuria [Marchiafava-Micheli],
D596,Hemoglobinuria due to hemolysis from other external causes,
D598,Other acquired hemolytic anemias,
D599,"Acquired hemolytic anemia, unspecified",
D600,Chronic acquired pure red cell aplasia,
D608,Other acquired pure red cell aplasias,
D609,"Acquired pure red cell aplasia, unspecified",
D6101,Constitutional (pure) red blood cell aplasia,
D6102,Shwachman-Diamond syndrome,
D6109,Other constitutional aplastic anemia,
D612,Aplastic anemia due to other external agents,
D613,Idiopathic aplastic anemia,
D61818,Other pancytopenia,
D6182,Myelophthisis,
D6189,Other specified aplastic anemias and other bone marrow failure syndromes,
D640,Hereditary sideroblastic anemia,
D641,Secondary sideroblastic anemia due to disease,
D643,Other sideroblastic anemias,
D644,Congenital dyserythropoietic anemia,
D66,Hereditary factor VIII deficiency,
D67,Hereditary factor IX deficiency,
D6800,"Von Willebrand disease, unspecified",
D6801,"Von Willebrand disease, type 1",
D68020,"Von Willebrand disease, type 2A",
D68021,"Von Willebrand disease, type 2B",
D68022,"Von Willebrand disease, type 2M",
D68023,"Von Willebrand disease, type 2N",
D68029,"Von Willebrand disease, type 2, unspecified",
D6803,"Von Willebrand disease, type 3",
D6804,Acquired von Willebrand disease,
D6809,Other von Willebrand disease,
D681,Hereditary factor XI deficiency,
D682,Hereditary deficiency of other clotting factors,
D68311,Acquired hemophilia,
D691,Qualitative platelet defects,
D693,Immune thrombocytopenic purpura,
D6941,Evans syndrome,
D6942,Congenital and hereditary thrombocytopenia purpura,
D6949,Other primary thrombocytopenia,
D700,Congenital agranulocytosis,
D704,Cyclic neutropenia,
D71,Functional disorders of polymorphonuclear neutrophils,
D720,Genetic anomalies of leukocytes,
D7581,Myelofibrosis,
D7584,Other platelet-activating anti-PF4 disorders,
D761,Hemophagocytic lymphohistiocytosis,
D763,Other histiocytosis syndromes,
D800,Hereditary hypogammaglobulinemia,
D802,Selective deficiency of immunoglobulin A [IgA],
D803,Selective deficiency of immunoglobulin G [IgG] subclasses,
D804,Selective deficiency of immunoglobulin M [IgM],
D805,Immunodeficiency with increased immunoglobulin M [IgM],
D810,Severe combined immunodeficiency [SCID] with reticular dysgenesis,
D811,Severe combined immunodeficiency [SCID] with low T- and B-cell numbers,
D812,Severe combined immunodeficiency [SCID] with low or normal B-cell numbers,
D8130,"Adenosine deaminase deficiency, unspecified",
D8131,Severe combined immunodeficiency due to adenosine deaminase deficiency,
D8132,Adenosine deaminase 2 deficiency,
D8139,Other adenosine deaminase deficiency,
D814,Nezelof's syndrome,
D815,Purine nucleoside phosphorylase [PNP] deficiency,
D816,Major histocompatibility complex class I deficiency,
D817,Major histocompatibility complex class II deficiency,
D8182,Activated Phosphoinositide 3-kinase Delta Syndrome [APDS],
D8189,Other combined immunodeficiencies,
D819,"Combined immunodeficiency, unspecified",
D820,Wiskott-Aldrich syndrome,
D821,Di George's syndrome,
D830,Common variable immunodeficiency with predominant abnormalities of B-cell numbers and function,
D831,Common variable immunodeficiency with predominant immunoregulatory T-cell disorders,
D832,Common variable immunodeficiency with autoantibodies to B- or T-cells,
D838,Other common variable immunodeficiencies,
D839,"Common variable immunodeficiency, unspecified",
D841,Defects in the complement system,
D863,Sarcoidosis of skin,
D8686,Sarcoid arthropathy,
D8687,Sarcoid myositis,
D89810,Acute graft-versus-host disease,
D89811,Chronic graft-versus-host disease,
D89812,Acute on chronic graft-versus-host disease,
D89813,"Graft-versus-host disease, unspecified",
D8984,IgG4-related disease,
E035,Myxedema coma,
E0800,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),
E0801,Diabetes mellitus due to underlying condition with hyperosmolarity with coma,
E0810,Diabetes mellitus due to underlying condition with ketoacidosis without coma,
E0811,Diabetes mellitus due to underlying condition with ketoacidosis with coma,
E0821,Diabetes mellitus due to underlying condition with diabetic nephropathy,
E0822,Diabetes mellitus due to underlying condition with diabetic chronic kidney disease,
E0829,Diabetes mellitus due to underlying condition with other diabetic kidney complication,
E08311,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema,
E08311,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy with macular edema,
E08319,Diabetes mellitus due to underlying condition with unspecified diabetic retinopathy without macular edema,
E083211,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, right eye",
E083211,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, right eye",
E083212,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, left eye",
E083212,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, left eye",
E083213,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, bilateral",
E083213,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, bilateral",
E083219,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",
E083219,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",
E083291,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, right eye",
E083292,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, left eye",
E083293,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, bilateral",
E083299,"Diabetes mellitus due to underlying condition with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",
E083311,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, right eye",
E083311,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, right eye",
E083312,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, left eye",
E083312,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, left eye",
E083313,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",
E083313,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",
E083319,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",
E083319,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",
E083391,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, right eye",
E083392,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, left eye",
E083393,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",
E083399,"Diabetes mellitus due to underlying condition with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",
E083411,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, right eye",
E083411,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, right eye",
E083412,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, left eye",
E083412,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, left eye",
E083413,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, bilateral",
E083413,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, bilateral",
E083419,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",
E083419,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",
E083491,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, right eye",
E083492,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, left eye",
E083493,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, bilateral",
E083499,"Diabetes mellitus due to underlying condition with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",
E083511,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, right eye",
E083511,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, right eye",
E083512,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, left eye",
E083512,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, left eye",
E083513,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, bilateral",
E083513,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, bilateral",
E083519,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, unspecified eye",
E083519,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with macular edema, unspecified eye",
E083521,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",
E083521,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",
E083522,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",
E083522,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",
E083523,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",
E083523,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",
E083529,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",
E083529,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",
E083531,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",
E083531,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",
E083532,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",
E083532,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",
E083533,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",
E083533,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",
E083539,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",
E083539,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",
E083541,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",
E083541,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",
E083542,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",
E083542,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",
E083543,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",
E083543,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",
E083549,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",
E083549,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",
E083551,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye",
E083551,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, right eye",
E083552,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye",
E083552,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, left eye",
E083553,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, bilateral",
E083553,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, bilateral",
E083559,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, unspecified eye",
E083559,"Diabetes mellitus due to underlying condition with stable proliferative diabetic retinopathy, unspecified eye",
E083591,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, right eye",
E083591,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, right eye",
E083592,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, left eye",
E083592,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, left eye",
E083593,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, bilateral",
E083593,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, bilateral",
E083599,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, unspecified eye",
E083599,"Diabetes mellitus due to underlying condition with proliferative diabetic retinopathy without macular edema, unspecified eye",
E0836,Diabetes mellitus due to underlying condition with diabetic cataract,
E0837X1,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, right eye",
E0837X2,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, left eye",
E0837X3,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, bilateral",
E0837X9,"Diabetes mellitus due to underlying condition with diabetic macular edema, resolved following treatment, unspecified eye",
E0839,Diabetes mellitus due to underlying condition with other diabetic ophthalmic complication,
E0840,"Diabetes mellitus due to underlying condition with diabetic neuropathy, unspecified",
E0841,Diabetes mellitus due to underlying condition with diabetic mononeuropathy,
E0842,Diabetes mellitus due to underlying condition with diabetic polyneuropathy,
E0843,Diabetes mellitus due to underlying condition with diabetic autonomic (poly)neuropathy,
E0844,Diabetes mellitus due to underlying condition with diabetic amyotrophy,
E0849,Diabetes mellitus due to underlying condition with other diabetic neurological complication,
E0851,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy without gangrene,
E0852,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene,
E0852,Diabetes mellitus due to underlying condition with diabetic peripheral angiopathy with gangrene,
E0859,Diabetes mellitus due to underlying condition with other circulatory complications,
E08610,Diabetes mellitus due to underlying condition with diabetic neuropathic arthropathy,
E08618,Diabetes mellitus due to underlying condition with other diabetic arthropathy,
E08620,Diabetes mellitus due to underlying condition with diabetic dermatitis,
E08621,Diabetes mellitus due to underlying condition with foot ulcer,
E08621,Diabetes mellitus due to underlying condition with foot ulcer,
E08622,Diabetes mellitus due to underlying condition with other skin ulcer,
E08622,Diabetes mellitus due to underlying condition with other skin ulcer,
E08628,Diabetes mellitus due to underlying condition with other skin complications,
E08630,Diabetes mellitus due to underlying condition with periodontal disease,
E08638,Diabetes mellitus due to underlying condition with other oral complications,
E08641,Diabetes mellitus due to underlying condition with hypoglycemia with coma,
E08649,Diabetes mellitus due to underlying condition with hypoglycemia without coma,
E0865,Diabetes mellitus due to underlying condition with hyperglycemia,
E0869,Diabetes mellitus due to underlying condition with other specified complication,
E088,Diabetes mellitus due to underlying condition with unspecified complications,
E089,Diabetes mellitus due to underlying condition without complications,
E1010,Type 1 diabetes mellitus with ketoacidosis without coma,
E1011,Type 1 diabetes mellitus with ketoacidosis with coma,
E1021,Type 1 diabetes mellitus with diabetic nephropathy,
E1022,Type 1 diabetes mellitus with diabetic chronic kidney disease,
E1029,Type 1 diabetes mellitus with other diabetic kidney complication,
E10311,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema,
E10311,Type 1 diabetes mellitus with unspecified diabetic retinopathy with macular edema,
E10319,Type 1 diabetes mellitus with unspecified diabetic retinopathy without macular edema,
E103211,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",
E103211,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, right eye",
E103212,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",
E103212,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, left eye",
E103213,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",
E103213,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, bilateral",
E103219,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",
E103219,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy with macular edema, unspecified eye",
E103291,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, right eye",
E103292,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, left eye",
E103293,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, bilateral",
E103299,"Type 1 diabetes mellitus with mild nonproliferative diabetic retinopathy without macular edema, unspecified eye",
E103311,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",
E103311,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, right eye",
E103312,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",
E103312,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, left eye",
E103313,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",
E103313,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, bilateral",
E103319,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",
E103319,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy with macular edema, unspecified eye",
E103391,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, right eye",
E103392,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, left eye",
E103393,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, bilateral",
E103399,"Type 1 diabetes mellitus with moderate nonproliferative diabetic retinopathy without macular edema, unspecified eye",
E103411,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",
E103411,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, right eye",
E103412,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",
E103412,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, left eye",
E103413,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",
E103413,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, bilateral",
E103419,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",
E103419,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy with macular edema, unspecified eye",
E103491,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, right eye",
E103492,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, left eye",
E103493,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, bilateral",
E103499,"Type 1 diabetes mellitus with severe nonproliferative diabetic retinopathy without macular edema, unspecified eye",
E103511,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",
E103511,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, right eye",
E103512,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",
E103512,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, left eye",
E103513,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",
E103513,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, bilateral",
E103519,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",
E103519,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with macular edema, unspecified eye",
E103521,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",
E103521,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, right eye",
E103522,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",
E103522,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",
E103523,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",
E103523,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, bilateral",
E103529,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",
E103529,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, unspecified eye",
E103531,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",
E103531,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, right eye",
E103532,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",
E103532,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, left eye",
E103533,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",
E103533,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, bilateral",
E103539,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",
E103539,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment not involving the macula, unspecified eye",
E103541,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",
E103541,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, right eye",
E103542,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",
E103542,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, left eye",
E103543,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",
E103543,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, bilateral",
E103549,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",
E103549,"Type 1 diabetes mellitus with proliferative diabetic retinopathy with combined traction retinal detachment and rhegmatogenous retinal detachment, unspecified eye",
E103551,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",
E103551,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, right eye",
E103552,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",
E103552,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, left eye",
E103553,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",
E103553,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, bilateral",
E103559,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",
E103559,"Type 1 diabetes mellitus with stable proliferative diabetic retinopathy, unspecified eye",
E103591,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",
E103591,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, right eye",
E103592,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",
E103592,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, left eye",
E103593,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",
E103593,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, bilateral",
E103599,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",
E103599,"Type 1 diabetes mellitus with proliferative diabetic retinopathy without macular edema, unspecified eye",
E1036,Type 1 diabetes mellitus with diabetic cataract,
E1037X1,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, right eye",
E1037X2,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, left eye",
E1037X3,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, bilateral",
E1037X9,"Type 1 diabetes mellitus with diabetic macular edema, resolved following treatment, unspecified eye",
E1039,Type 1 diabetes mellitus with other diabetic ophthalmic complication,
E1040,"Type 1 diabetes mellitus with diabetic neuropathy, unspecified",
E1041,Type 1 diabetes mellitus with diabetic mononeuropathy,
E1042,Type 1 diabetes mellitus with diabetic polyneuropathy,
E1043,Type 1 diabetes mellitus with diabetic autonomic (poly)neuropathy,
E1044,Type 1 diabetes mellitus with diabetic amyotrophy,
E1049,Type 1 diabetes mellitus with other diabetic neurological complication,
E1051,Type 1 diabetes mellitus with diabetic peripheral angiopathy without gangrene,
E1052,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,
E1052,Type 1 diabetes mellitus with diabetic peripheral angiopathy with gangrene,
E1059,Type 1 diabetes mellitus with other circulatory complications,
E10610,Type 1 diabetes mellitus with diabetic neuropathic arthropathy,
E10618,Type 1 diabetes mellitus with other diabetic arthropathy,
E10620,Type 1 diabetes mellitus with diabetic dermatitis,
E10621,Type 1 diabetes mellitus with foot ulcer,
E10621,Type 1 diabetes mellitus with foot ulcer,
E10622,Type 1 diabetes mellitus with other skin ulcer,
E10622,Type 1 diabetes mellitus with other skin ulcer,
E10628,Type 1 diabetes mellitus with other skin complications,
E10630,Type 1 diabetes mellitus with periodontal disease,
E10638,Type 1 diabetes mellitus with other oral complications,
E10641,Type 1 diabetes mellitus with hypoglycemia with coma,
E10649,Type 1 diabetes mellitus with hypoglycemia without coma,
E1065,Type 1 diabetes mellitus with hyperglycemia,
E1069,Type 1 diabetes mellitus with other specified complication,
E108,Type 1 diabetes mellitus with unspecified complications,
E109,Type 1 diabetes mellitus without complications,
E1100,Type 2 diabetes mellitus with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),
E1101,Type 2 diabetes mellitus with hyperosmolarity with coma,
E1110,Type 2 diabetes mellitus with ketoacidosis without coma,
E1111,Type 2 diabetes mellitus with ketoacidosis with coma,
E1121,Type 2 diabetes mellitus with diabetic nephropathy,
E1122,Type 2 diabetes mellitus with diabetic chronic kidney disease,
